diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers, channel width, floc blanket space
3,0.3882 liter / second,2 inch,13.0,6 inch,30 millimeter,18.24 millimeter,124 dimensionless,0.1698 meter,2.138 meter
4,0.6511 liter / second,2 inch,8.0,6 inch,40 millimeter,19.24 millimeter,117 dimensionless,0.2848 meter,2.07 meter
5,0.9652 liter / second,3 inch,5.0,6 inch,50 millimeter,20.24 millimeter,111 dimensionless,0.4222 meter,1.988 meter
6,1.327 liter / second,3 inch,3.0,6 inch,60 millimeter,21.24 millimeter,106 dimensionless,0.5806 meter,1.893 meter
7,1.738 liter / second,4 inch,3.0,6 inch,70 millimeter,22.24 millimeter,102 dimensionless,0.7605 meter,1.786 meter
8,2.159 liter / second,4 inch,2.0,6 inch,80 millimeter,23.24 millimeter,97 dimensionless,0.9446 meter,1.677 meter
9,2.62 liter / second,6 inch,1.0,6 inch,90 millimeter,24.24 millimeter,93 dimensionless,1.146 meter,1.556 meter
10,3.13 liter / second,6 inch,1.0,6 inch,100 millimeter,25.24 millimeter,90 dimensionless,1.369 meter,1.423 meter
11,3.62 liter / second,6 inch,1.0,6 inch,110 millimeter,26.24 millimeter,86 dimensionless,1.583 meter,1.296 meter
12,4.157 liter / second,6 inch,1.0,6 inch,120 millimeter,27.24 millimeter,83 dimensionless,1.819 meter,1.156 meter
13,4.703 liter / second,6 inch,1.0,6 inch,130 millimeter,28.24 millimeter,80 dimensionless,2.057 meter,1.014 meter
14,5.249 liter / second,6 inch,0.0,6 inch,140 millimeter,29.24 millimeter,77 dimensionless,2.296 meter,0.8711 meter
15,5.87 liter / second,8 inch,0.0,6 inch,150 millimeter,30.24 millimeter,75 dimensionless,2.568 meter,0.7094 meter
16,6.5 liter / second,8 inch,0.0,6 inch,160 millimeter,31.24 millimeter,73 dimensionless,2.843 meter,0.545 meter
17,7.037 liter / second,8 inch,0.0,6 inch,170 millimeter,32.24 millimeter,70 dimensionless,3.078 meter,0.4052 meter
18,7.663 liter / second,8 inch,0.0,6 inch,180 millimeter,33.24 millimeter,68 dimensionless,3.352 meter,0.2418 meter
19,8.287 liter / second,8 inch,0.0,6 inch,190 millimeter,34.24 millimeter,66 dimensionless,3.625 meter,0.07919 meter
20,8.904 liter / second,8 inch,0.0,6 inch,200 millimeter,35.24 millimeter,64 dimensionless,3.895 meter,-0.08166 meter
21,9.664 liter / second,10 inch,0.0,6 inch,210 millimeter,36.24 millimeter,63 dimensionless,4.227 meter,-0.2796 meter
22,10.27 liter / second,10 inch,0.0,6 inch,220 millimeter,37.24 millimeter,61 dimensionless,4.492 meter,-0.4374 meter
23,11.04 liter / second,10 inch,0.0,5.945 inch,230 millimeter,38.1 millimeter,60 dimensionless,4.829 meter,-0.6383 meter
24,12.02 liter / second,10 inch,0.0,5.551 inch,240 millimeter,38.1 millimeter,60 dimensionless,5.259 meter,-0.894 meter
25,13.04 liter / second,10 inch,0.0,5.157 inch,250 millimeter,38.1 millimeter,60 dimensionless,5.706 meter,-1.161 meter
26,14.11 liter / second,10 inch,0.0,4.764 inch,260 millimeter,38.1 millimeter,60 dimensionless,6.171 meter,-1.438 meter
27,15.21 liter / second,12 inch,0.0,4.37 inch,270 millimeter,38.1 millimeter,60 dimensionless,6.655 meter,-1.726 meter
28,16.36 liter / second,12 inch,0.0,3.976 inch,280 millimeter,38.1 millimeter,60 dimensionless,7.157 meter,-2.026 meter
29,17.55 liter / second,12 inch,0.0,3.583 inch,290 millimeter,38.1 millimeter,60 dimensionless,7.678 meter,-2.336 meter
30,18.78 liter / second,12 inch,0.0,3.189 inch,300 millimeter,38.1 millimeter,60 dimensionless,8.216 meter,-2.657 meter
31,20.06 liter / second,12 inch,0.0,2.795 inch,310 millimeter,38.1 millimeter,60 dimensionless,8.773 meter,-2.988 meter
32,21.37 liter / second,16 inch,0.0,2.402 inch,320 millimeter,38.1 millimeter,60 dimensionless,9.348 meter,-3.331 meter
33,22.73 liter / second,16 inch,0.0,2.008 inch,330 millimeter,38.1 millimeter,60 dimensionless,9.942 meter,-3.685 meter
34,24.13 liter / second,16 inch,0.0,1.614 inch,340 millimeter,38.1 millimeter,60 dimensionless,10.55 meter,-4.049 meter
