diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers
3,0.4477 liter / second,2 inch,11.0,5 inch,30 millimeter,0.6181 inch,143 dimensionless
4,0.7513 liter / second,3 inch,6.0,5 inch,40 millimeter,0.6575 inch,135 dimensionless
5,1.104 liter / second,3 inch,4.0,5 inch,50 millimeter,0.6969 inch,127 dimensionless
6,1.515 liter / second,3 inch,3.0,5 inch,60 millimeter,0.7362 inch,121 dimensionless
7,1.943 liter / second,4 inch,2.0,5 inch,70 millimeter,0.7756 inch,114 dimensionless
8,2.426 liter / second,4 inch,2.0,5 inch,80 millimeter,0.815 inch,109 dimensionless
9,2.93 liter / second,6 inch,1.0,5 inch,90 millimeter,0.8543 inch,104 dimensionless
10,3.444 liter / second,6 inch,1.0,5 inch,100 millimeter,0.8937 inch,99 dimensionless
11,3.998 liter / second,6 inch,1.0,5 inch,110 millimeter,0.9331 inch,95 dimensionless
12,4.558 liter / second,6 inch,1.0,5 inch,120 millimeter,0.9724 inch,91 dimensionless
13,5.173 liter / second,6 inch,1.0,5 inch,130 millimeter,1.012 inch,88 dimensionless
14,5.795 liter / second,8 inch,0.0,5 inch,140 millimeter,1.051 inch,85 dimensionless
15,6.417 liter / second,8 inch,0.0,5 inch,150 millimeter,1.091 inch,82 dimensionless
16,7.034 liter / second,8 inch,0.0,5 inch,160 millimeter,1.13 inch,79 dimensionless
17,7.64 liter / second,8 inch,0.0,5 inch,170 millimeter,1.169 inch,76 dimensionless
18,8.34 liter / second,8 inch,0.0,5 inch,180 millimeter,1.209 inch,74 dimensionless
19,9.041 liter / second,8 inch,0.0,5 inch,190 millimeter,1.248 inch,72 dimensionless
20,9.6 liter / second,10 inch,0.0,5 inch,200 millimeter,1.287 inch,69 dimensionless
21,10.28 liter / second,10 inch,0.0,5 inch,210 millimeter,1.327 inch,67 dimensionless
22,10.94 liter / second,10 inch,0.0,5 inch,220 millimeter,1.366 inch,65 dimensionless
23,11.78 liter / second,10 inch,0.0,5 inch,230 millimeter,1.406 inch,64 dimensionless
24,12.42 liter / second,10 inch,0.0,5 inch,240 millimeter,1.445 inch,62 dimensionless
25,13.04 liter / second,10 inch,0.0,5 inch,250 millimeter,1.484 inch,60 dimensionless
26,13.87 liter / second,10 inch,0.0,5 inch,260 millimeter,1.524 inch,59 dimensionless
27,14.45 liter / second,10 inch,0.0,5 inch,270 millimeter,1.563 inch,57 dimensionless
28,15.27 liter / second,12 inch,0.0,5 inch,280 millimeter,1.602 inch,56 dimensionless
29,16.09 liter / second,12 inch,0.0,5 inch,290 millimeter,1.642 inch,55 dimensionless
30,16.59 liter / second,12 inch,0.0,5 inch,300 millimeter,1.681 inch,53 dimensionless
31,17.38 liter / second,12 inch,0.0,5 inch,310 millimeter,1.72 inch,52 dimensionless
32,18.16 liter / second,12 inch,0.0,5 inch,320 millimeter,1.76 inch,51 dimensionless
33,18.94 liter / second,12 inch,0.0,5 inch,330 millimeter,1.799 inch,50 dimensionless
34,19.7 liter / second,12 inch,0.0,5 inch,340 millimeter,1.839 inch,49 dimensionless
35,20.45 liter / second,12 inch,0.0,5 inch,350 millimeter,1.878 inch,48 dimensionless
36,21.19 liter / second,16 inch,0.0,5 inch,360 millimeter,1.917 inch,47 dimensionless
37,21.9 liter / second,16 inch,0.0,5 inch,370 millimeter,1.957 inch,46 dimensionless
38,22.6 liter / second,16 inch,0.0,5 inch,380 millimeter,1.996 inch,45 dimensionless
39,23.81 liter / second,16 inch,0.0,4.646 inch,390 millimeter,2 inch,45 dimensionless
40,25.04 liter / second,16 inch,0.0,4.252 inch,400 millimeter,2 inch,45 dimensionless
41,26.31 liter / second,16 inch,0.0,3.858 inch,410 millimeter,2 inch,45 dimensionless
42,27.61 liter / second,16 inch,0.0,3.465 inch,420 millimeter,2 inch,45 dimensionless
43,28.94 liter / second,16 inch,0.0,3.071 inch,430 millimeter,2 inch,45 dimensionless
44,30.3 liter / second,16 inch,0.0,2.677 inch,440 millimeter,2 inch,45 dimensionless
45,31.7 liter / second,16 inch,0.0,2.283 inch,450 millimeter,2 inch,45 dimensionless
46,33.12 liter / second,18 inch,0.0,1.89 inch,460 millimeter,2 inch,45 dimensionless
47,34.58 liter / second,18 inch,0.0,1.496 inch,470 millimeter,2 inch,45 dimensionless
